2026-04-10 13:44:30 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:30 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:44:30 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:30 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:30 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.16s)
2026-04-10 13:44:30 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:30 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:30 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:44:31 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:31 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:31 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:44:31 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:31 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:31 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:44:31 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:31 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:31 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:44:31 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:32 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:32 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:44:32 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:32 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:32 | CRITICAL | metrics | ALERT [login_attack]: Possible brute force attack: 10 failed logins in 5 minutes - usernames targeted: {'string'}
2026-04-10 13:44:32 | CRITICAL | metrics | NOTIFICATION: Possible brute force attack: 10 failed logins in 5 minutes - usernames targeted: {'string'}
2026-04-10 13:44:32 | WARNING  | alerts | Email alerts not configured - skipping email notificatino
2026-04-10 13:44:32 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.20s)
